County,State,StateCode,LBW,LBWind,InfantMort,InfantMortInd
Cheyenne,Colorado,CO,6.5,4,NA,NA
Clear Creek,Colorado,CO,9.8,4,7.9,4
Conejos,Colorado,CO,7.1,3,8.1,3
Costilla,Colorado,CO,12.8,4,14.8,4
Crowley,Colorado,CO,8.4,4,NA,NA
Custer,Colorado,CO,12.7,4,NA,NA
Delta,Colorado,CO,7,3,6.9,3
Denver,Colorado,CO,9.4,4,6.7,3
Dolores,Colorado,CO,11.7,4,NA,NA
Douglas,Colorado,CO,8.8,4,4.2,3
Eagle,Colorado,CO,8.9,4,3.9,3
Elbert,Colorado,CO,7.7,4,3.7,3
El Paso,Colorado,CO,9.6,4,6.5,4
Fremont,Colorado,CO,9.6,4,8.8,4
Garfield,Colorado,CO,7.3,4,6.5,4
Gilpin,Colorado,CO,10.3,4,NA,NA
Grand,Colorado,CO,11.8,4,1.6,3
Gunnison,Colorado,CO,8.4,4,8.3,4
Hinsdale,Colorado,CO,NA,NA,NA,NA
Huerfano,Colorado,CO,10.1,4,6.4,4
Jackson,Colorado,CO,9.9,4,NA,NA
Jefferson,Colorado,CO,8.4,4,5.5,4
Kiowa,Colorado,CO,7.5,4,NA,NA
Kit Carson,Colorado,CO,6.7,4,9.1,4
Lake,Colorado,CO,14.2,4,11.7,4
La Plata,Colorado,CO,7.5,3,4.4,3
Larimer,Colorado,CO,7.7,4,5.6,3
Las Animas,Colorado,CO,9.4,4,3.4,3
Lincoln,Colorado,CO,9.1,4,1.9,3
Logan,Colorado,CO,6.5,4,7,4
Mesa,Colorado,CO,7.2,3,6.6,3
Mineral,Colorado,CO,10.7,4,NA,NA
Moffat,Colorado,CO,9.1,4,5.7,4
Montezuma,Colorado,CO,7.7,3,6.7,3
Montrose,Colorado,CO,7.8,4,4.4,3
Morgan,Colorado,CO,7.6,4,7.5,4
Otero,Colorado,CO,9,3,6.2,3
Ouray,Colorado,CO,8.1,4,NA,NA
Park,Colorado,CO,13.2,4,5.8,4
Phillips,Colorado,CO,5.5,3,11,4
Pitkin,Colorado,CO,9.2,4,2.9,3
Prowers,Colorado,CO,8.6,4,7.7,3
